permission_id,street,post_code,prim_add_obj_name
181928,Gray's Inn Road,WC1X 8TT,79
154208,Nether Street,N12 7NL,28
148147,Cambridge Road,KT1 3NG,17
166208,DENBIGH CLOSE,SM1 2HS,6
174388,Sidney Street,E1,2-4
149450,Edith Grove,SW10 0NH,116
172688,Queensway,W2 3RR,102
260358,Hillcross Avenue,SM4 4EX,410
150832,Canal Reach,N1C 4AB,King's Cross Central
158082,Church Walk,N18 1AE,Uvedale House
157356,Cane Hill,CR5 3YL,Former Cane Hill Hospital
149653,Marylebone Mews,W1G 8PX,5
196608,Coningsby Road,N4 1EG,7
156309,Stoke Newington High Street,N16 7PA,72
148453,Cator Road,SE26 5DS,38
221948,Goddington Lane,BR6 9DT,55
203508,MALDEN ROAD,SM3 8EJ,236
256868,Church Lane,N2 8DT,40
256940,Netherlands Road,EN5 1BW,24
175168,Castlegate,TW9,Land On Corner Of Castlegate And Lower Mortlake Road
151563,EDWIN HALL PLACE,SE13 6RN,1
195568,Ferme Park Road,N4 4EB,30
256894,Aerodrome Road,NW9 5ZG,"Buildings D3 To D8, Beaufort Park"
166088,Manor Road,SM6 0AB,68
205082,Drury Way,NW10 0HZ,GLOBAL HOUSE
157758,Sydenham Road,CR0 2EZ,Premier House 14C
149899,Barnes Avenue,SW13 9AB,8
195128,Harringay Road,N15 3JD,6
158441,North Road,W5 4RZ,Adjacent to 59
157795,Windmill Road,CR0 2XQ,118
173433,Beulah Hill,SE19 3LS,12 & 12a
150515,Oval Road,CR0 6BS,170A
206490,North Circular Road,NW2 7JX,918
151127,Green Lanes,N4 2EX,279
147865,Raleigh Avenue,UB4 0EF,101 and 103
318532,Bunces Lane,IG8 9DU,St Aubyns School
158144,Chase Road,EN3 4RR,286
153076,Finchley Road,NW3 5JJ,106C
150490,High Street,CR7 8RW,49
157810,Nicholson Road,CR0 6QT,23A
151902,BEVERLEY GARDENS,KT4 8AG,8
176848,Little Park Gardens,EN2 6PQ,10
156498,High road,N17 0AB,664-666
318609,Queens Road,NE4 3NS,Trident House
184688,Hoveden Road,NW2 3XD,10
157251,Church Street,EN2 6BA,55
176928,Hedge Lane,N13 5SH,2
165908,BEECHES AVENUE,SM5 3LF,2C
178808,Prince Consort Road,SW7 2BH,
158062,Neville Road,CR0 2DS,8
157334,Chipstead Valley Road,CR5 2RA,42-44
150730,Foxley Lane,CR8 3HR,127
173548,DRESSINGTON AVENUE,SE4 1RR,
202228,CHURCH HILL ROAD,SM3 8LJ,90
257188,Hamilton Road,SW19 1JF,84
182473,Welcomes Road,CR8 5HA,57
311617,Grafton Road,NW5 4BA,104-108 Star House
148346,Kingston Road,RM1 3NA,3
169910,PECKHAM HILL STREET,SE15 5JT,130
150257,South End,CR0 1DN,22
196148,Riverside Road,N15 6DA,Land adjacent to 31
170788,Station Parade,TW9 3PS,7A
162028,Hermitage Lane,SW16 3LH,3-7
192210,West Heath Road,NW3 7TH,81
187028,Gosfield Street,W1W 6HH,27
150164,Kingscourt Road,SW16 1JA,7
147316,Merryfield,SE3 0SJ,Block at 2-24
156490,Ferme Park Road,N8 9RY,67
149677,Brookwood Road,TW3 4HD,Surface Car park
170668,Stanley Road,TW11 8UE,186-188
149789,Ealing Road,HA0 4TH,80
152961,West Hampstead Mews,NW6 3BB,21-22
151021,Morden Gardens,UB6 0LT,17
150568,The Avenue,CR5 2BN,1
169950,MORTLOCK CLOSE,SE15 2QE,45
158095,Fairgreen,EN4 0LU,25
149270,Hertford Road,EN3 6UE,Land At The Rear Of 828
152210,Royston Park Road,HA5 4AD,"Glendale, 2A"
150518,Woodville Road,CR7 8LH,29-31
149659,Eaton Place,SW1X 8DE,49
195868,Vale Grove,N4 1PY,Store and Office 3
189153,Spaniards End,NW3 7JG,17
152068,Rochester Mews,NW1 9JB,16
204664,Underhill,EN5 2BB,Old Red Lion
173468,MERCY TERRACE,SE13 7UX,10
207780,Neville Drive,N2 0QS,7
152818,Stanhope Road,N6 5NG,26
152490,Rowley Lane,EN5 3HS,Land Adjoining 4 Sandlewood Close
180068,Ass House Lane,HA3 6SJ,"Bankfield Cottages, 1 & 2"
248661,Windmill Road,CR0 2XR,21
155549,Resdton Road,N8 7HJ,14
181948,St Augustine's Road,NW1 9RP,84
248658,London Road,CR0 2TB,78
260349,High Street Colliers Wood,SW19 2PP,131
179780,Avenue Terrace,IG2 7RW,1
157212,Werndee Road,SE25 5LB,8
166728,RUSKIN ROAD,SM5 3DD,61
178108,Orford Road,E17 9NL,21b
169996,St Mary's Lane,RM14 3BX,Land at 215 - 227
173648,Homestead Road,SW6 7DB,6
155051,Finchley Road,NW11 7RR,628
255563,Watling Avenue,HA8 0LW,16-18
147849,Brockham Crescent,CR0 0PP,22
148720,Kennington Park Gardens,SE11 4AX,20
148132,BEVERLEY WAY,SW20 0AW,47
148272,Sinclair Road,W14 0NS,11
148395,ASHBY MEWS,SE4 1TB,Unit 4
240648,Fortis Green,N2 9HW,
179828,Kew Road,TW9 2PQ,90
198948,Stanhope Gardens,N6 5TT,Land to the rear of 11-13
183828,BURLINGTON LANE,W4 2TH,AXIS HOUSE HOGARTH BUSINESS CENTRE
260110,The Broadway,NW7 4RN,129-133
179068,Baker Street,NW1 5SZ,
256317,Milespit Hill,NW7 2RS,"Brown Leaves, 75"
177534,Wellmeadow Road,W7 2AL,Dart House
173424,Fulham Road,SW6 5SL,788
214688,Tolworth Rise South,KT5 9NB,242
190709,Hale Lane,NW7 3SE,122
149819,Roke Road,CR8 5DY,2
245360,Dersingham Road,NW2 1SP,Jacabs Ltd
272348,Spencer Hill,SW19 4PA,25
177574,Poplar Grove,W6 7RE,36
149287,Compton Road,N21 3NX,"Fern Lodge, 24-26"
176808,Totteridge Road,EN3 6NF,46
162054,Cricket Green,CR4 4LA,"Brook House, 1A"
332423,Barley Lane,IG3 8XE,45
173450,Whytecliffe Road South,CR8 2AZ,51
174128,Doria Road,SW6 4UG,28
151700,Allenby Road,TN16 3LH,40
154686,Grand Union Way,UB2 4EX,Grand Union Enterprise Park
151019,Fairfax Road,NW6 4DY,79
151137,Groom Place,SW1X 7BA,38
151723,Binyon Crescent,HA7 3NE,Garages Rear of 59
151260,CROWN STREET,SE5 3NG,3 CROWN BUILDINGS
184088,Greenwich South Street,SE10 8PW,65
165555,Woodcote Valley Road,CR8 3AJ,52
149901,Paved Court,TW9 1LZ,1
204158,The Vale,NW11 8TJ,107
